ID,Title,Definition
1,Abstract,"An entity encompassing pure concepts, independent of physical, mental, or social instantiation."
1.1,Foundations of Abstraction,"A fundamental class of core, non-physical principles and entities."
1.1.1,Axiomatic System,A foundational logical construct built upon unproven assertions to derive valid theorems.
1.1.1.1,Axiomatic Logical System,A structured framework for deriving truths from foundational assumptions and inference rules.
1.1.1.10,Axiomatic Probability System,A formal mathematical structure for quantifying uncertainty and randomness.
1.1.1.11,Axiomatic Order-Theoretic System,An abstract framework for rigorously defining relationships between elements using fundamental principles.
1.1.1.12,Axiomatic Graph-Theoretic System,A formal mathematical framework establishing graph properties through fundamental postulates.
1.1.1.13,Axiomatic Analytical System,A foundational mathematical structure defining real numbers and their metric properties axiomatically.
1.1.1.14,Axiomatic Functional-Analysis System,A rigorous framework defining infinite-dimensional spaces and their operators.
1.1.1.15,Axiomatic Quantum-Logic System,"A formal framework describing quantum mechanics via algebraic structures, notably orthomodular lattices."
1.1.1.2,Axiomatic Algebraic System,A formal mathematical structure defined by foundational postulates.
1.1.1.3,Axiomatic Set-Theoretic System,A formal system establishing foundational rules for collections and their constituents.
1.1.1.4,Axiomatic Arithmetic System,A formal mathematical framework establishing number properties through postulates.
1.1.1.5,Axiomatic Geometric System,A formal mathematical framework grounded in fundamental propositions describing spatial relationships and figures.
1.1.1.6,Axiomatic Type/Category System,A system for rigorously classifying abstract entities using fundamental principles.
1.1.1.7,Axiomatic Non-Classical System,A formal framework of postulates and inference rules for logical systems beyond classical scope.
1.1.1.8,Axiomatic Topological System,A fundamental structure characterized by subsets adhering to specific open set axioms.
1.1.1.9,Axiomatic Measure-Theoretic System,A precisely defined abstract structure for assigning magnitudes to sets.
1.1.2,Universal Property,An abstract characteristic defining an object via unique relationships with others.
1.1.2.1,Object-Level Universal Property,A characteristic defining an object through its unique relational structure with all other relevant entities within a specific context.
1.1.2.2,Cone-Level Universal Property,A defining property that uniquely characterizes an object via its relationship to other objects in a category.
1.1.2.3,Cocone-Level Universal Property,A unique mapping property defining a colimit object as an initial cocone.
1.1.2.4,Diagram-Level Universal Property,An abstract categorical characteristic defined by a unique arrow that factors through a specified diagram.
1.1.2.5,Functor-Level Universal Property,An abstract property uniquely characterizes a functor via a universal natural transformation.
1.1.2.6,End/Coend-Level Universal Property,A characterization defining generalized limits and colimits via natural transformations.
1.1.3,Infinitary Concept,"An abstraction involving concepts of endlessness in quantity, extent, or duration."
1.1.3.1,Infinitary Logic,A formal system permitting formulas of infinite length or infinite quantifiers.
1.1.3.10,Topological Compactification,A process of adjoining boundary points to a topological space to make it compact.
1.1.3.11,Projective Limit,A system limit is a fundamental construction in category theory.
1.1.3.12,Inductive Limit,A mathematical construction representing a colimit of a direct system.
1.1.3.13,Infinite Combinatorics,An exploration of discrete structures with immeasurable quantity.
1.1.3.2,Cardinal Arithmetic,"A mathematical system for comparing and combining sizes of sets, including infinite ones."
